     100 files     200 files     300 files     310 text files.
classified 310 filesDuplicate file check 310 files (263 known unique)Unique:      100 files                                          Unique:      200 files                                               303 unique files.                              
Counting:  100Counting:  200Counting:  300      17 files ignored.

http://cloc.sourceforge.net v 1.62  T=17.98 s (16.0 files/s, 711.3 lines/s)
-------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                          blank        comment           code
-------------------------------------------------------------------------------------------------------------------------------------------------
App/Core/Network/NSDictionary+XPAPISignature.h                                                                    4              7              4
App/Modules/CommunityAnnouncementModule/NetWork/NSString+XPAPIPath_Announcement.h                                 4              7              4
App/Modules/SecondHandModule/ViewController/XPSecondHandContentViewController.h                                   4              7              4
App/Modules/TopicModule/NetWork/NSString+XPAPIPath_Topic.h                                                        4              7              4
App/Core/Category/RACSignal+XPOperatorAdditions.h                                                                 4              8              4
App/Modules/HouseholdModule/Network/NSString+XPAPIPath_Household.h                                                4              7              4
App/Core/Category/RACTableViewCell.h                                                                              4              7              4
App/Modules/TopicModule/NetWork/XPAPIManager+Topic.h                                                              5              7              4
App/Modules/PropertyBillModule/Network/NSString+XPAPI_PropertyBill.h                                              4              7              4
App/Modules/PropertyBillModule/Network/XPAPIManager+PropertyBill.h                                                4             10              4
App/Modules/HouseholdModule/Network/XPAPIManager+Household.h                                                      4             14              4
App/Core/Category/RACSignal+XPBackgroundTaskAdditions.h                                                           4             16              4
App/Modules/TopicModule/ViewController/XPCreatePostViewController.h                                               5              7              3
App/Modules/ComplaintModule/ViewController/XPListComplaintViewController.h                                        3              7              3
App/Core/Base/ViewController/XPBaseNavigationViewController.h                                                     3              7              3
App/Modules/VoteModule/View/XPInTheVoteTableViewCell.h                                                            3              7              3
App/Modules/VoteModule/ViewController/XPEditorVoteViewController.h                                                3              7              3
App/Modules/HomeModule/ViewController/XPHomeViewController.h                                                      3              7              3
App/Modules/LaunchModule/ViewModel/XPLaunchViewModel.h                                                            3              7              3
App/Modules/MaintenanceModule/ViewController/XPMyMaintenanceViewController.h                                      7              7              3
App/Modules/VoteModule/View/XPEdtorVoteTableViewCell.h                                                            3              7              3
App/Modules/ForumModule/ViewController/XPForumViewController.h                                                    5              7              3
App/Modules/CommunityAnnouncementModule/ViewController/XPAnnouncementViewController.h                             3              7              3
App/Help/Activity/XPSaveActivity.h                                                                                3              7              3
App/Modules/VoteModule/View/XPTheEndVoteTableViewCell.h                                                           3              7              3
App/Modules/VoteModule/ViewController/XPVotingEndedDetailsViewController.h                                        3              7              3
App/Help/Activity/XPDeleteActivity.h                                                                              3              7              3
App/Core/Base/ViewController/XPBaseTableViewController.h                                                          3              7              3
App/Modules/PropertyBillModule/Model/XPPropertyBillModel.m                                                        3              7              3
App/Modules/NeighborhoodModule/ViewController/XPTopicViewController.h                                             3              7              3
App/Modules/MeModule/View/XPMeTableViewCell.h                                                                     3              7              3
App/Modules/SecondHandModule/ViewController/XPSecondHandViewController.h                                          5              7              3
App/Modules/LoginModule/ViewController/XPLoginViewController.h                                                    3              7              3
App/Modules/VoteModule/ViewController/XPReleaseVoteViewController.h                                               3              7              3
App/Core/Base/ViewController/XPBaseTabBarViewController.h                                                         4              7              3
App/Modules/VoteModule/View/XPTheEndVoteTableViewCell.m                                                           4             14              3
App/Modules/MaintenanceModule/ViewController/XPMaintenanceSubmitViewController.h                                  3              7              3
App/Modules/HouseholdModule/ViewController/XPHouseholdViewController.h                                            5              7              3
App/Modules/CommunityAnnouncementModule/Model/XPAnnouncementModel.m                                               3              7              3
App/Modules/LoginModule/Model/XPUser.m                                                                            3              7              3
App/Modules/ComplaintModule/ViewController/XPComplaintViewController.h                                            3              7              3
-------------------------------------------------------------------------------------------------------------------------------------------------
SUM:                                                                                                           2410           2658           7723
-------------------------------------------------------------------------------------------------------------------------------------------------

-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Objective C                    142           1674           1206           6711
C/C++ Header                   145            736           1452           1012
-------------------------------------------------------------------------------
SUM:                           287           2410           2658           7723
-------------------------------------------------------------------------------
